#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
90,-22669.488732305505,146.6982544606729,0
180,-22764.41816691794,148.86930230591966,4.3
270,-22684.2884354739,149.32449715471512,4.33
360,-22601.32003346562,148.44439476685332,4.33
450,-22611.41610054808,147.05174779340896,4.32
540,-22547.94118807263,150.16475624324116,4.31
630,-22303.70658019975,151.22272925209919,4.31
720,-22319.15860228579,145.64765705907152,4.31
810,-22372.66470811335,147.46151735623414,4.31
